index,original,reframed
0,"How can my organisation apply to be a Baby Bonus Approved Institution?
",Apply to be a Baby Bonus Approved Institution?
1,"I have entered the Unique Entity Number (UEN) using 'Join as an Approved Institution (AI)' service, but your system does not have matching records of my Unique Entity Number (UEN). Can I still submit my application?
","I have entered a UEN using the 'Join an AI' service, but my system does not have a matching record of my UEN. Can I still submit my application?"
2,"I have entered the Unique Entity Number (UEN) using the 'Join as Approved Institution (AI)' service, but your system indicated that my Unique Entity Number (UEN) is invalid, what should I do?
",My UEN is showing as invalid. What shoud I do?
3,"Is there a validity period to be a Baby Bonus Approved Institution?
","Validity period to be a Baby Bonus AI?
"
4,"How much does an organisation need to pay to register as an Approved Institution (AI) with Ministry of Social and Family Development (MSF)?
",How much should my organisation pay to be registered as an AI withMMSF? 
5,"Why is my Approved Institution (AI) application not approved?
","Why is my AI application not approved?
"
6,"Who do I contact for enquiries and feedback on Approved Institutions (AI)?
","Who should be contacted for enquiries and feedback on Approved Institutions?
"
7,"Where can I find the list of optical shops, which allow the use the CDA funds?
","List of optical shops, allowing the use of CDA funds?
"
8,"How do I find out more information about Approved Institutions (AI)?
","More information about AI?
"
9,"If an AI makes a refund into the CDA, how long will the process take before I receive the refund?
","If a AI returns a refund in CDA, how long will the process take before I receive the refund?"
10,"My centre is an Approved Institution. Can I request for an additional or higher-resolution Baby Bonus Approved Institution sticker?
","Request for an additional or higher-resolution Baby Bonus Approved Institution sticker for my company?
"
11,"What is a Baby Bonus Approved Institution?
",What is an infant bonus approved institution?
12,"Who can apply to be a Baby Bonus Approved Institution?
",Who can apply to be a Baby Bonus AI?
13,"How can I check whether my organisation is eligible to be a Baby Bonus Approved Institution?
","Eligibility of my organisation to be a Baby Bonus Approved Institution?
"
14,"Are eligible institutions required to register all of its business entities/centres belonging to the same Company as a Baby Bonus AI?
",Are the eligible entities required to register the same company belonging to all their business entities / centers as Baby Bonus AI?
15,"What is CorpPass?
","CorpPass is what?
"
16,"I am an Approved Person (AP) but do not have a CorpPass account. Can I still login to Approved Institution (AI) Portal using Singpass to access the e-services?
","I  do not have a CorpPass account but am an approved person. Can still login to Portal using Singpass to access the services?
"
17,"My entity has already registered for CorpPass. However I am still not able to login to Approved Institution (AI) Portal to access AI e-services.
","My unit is already registered to CorpPass. However, I am still not able to login on the accepted Institute (AI) portal to access AI e-services."
18,"Can I still transact using my SingPass after signing up for CorpPass?
","Can I transact using my SingPass after sign up for CorpPass?
"
19,"Why must we transit to CorpPass?
",What is the need to transit to CorpPass?
20,"Is my entity eligible for CorpPass?
","Eligibility of my entity for CorpPass?
"
21,"Is it true that as long as I have a corpus, I can apply to be an accepted institution or an approved person?","If I have a CorpPass, can I apply to be an Approved Institution or Approved Person?
"
22,"I am a CorpPass user and I have registered my entity as an Approved Institution (AI) on behalf of my Approved Person (AP). How can I complete the AI acceptance?
",I am a corppass user and I have registered my organization as an Approved Institution (AI) on behalf of my Approved Person (AP). How can I complete AI acceptance?
23,"I am an Approved Person (AP) and have submitted a request for a change of AP. How can the new AP accept the terms and conditions?
","I submitted a request for a change of AP. How the new AP accept the conditions?
"
24,"How can I update MSF of the details of my business and the Approved Persons(AP) particulars?
","I want to update MSF about my business and the AP particulars?
"
25,"Can my organisation withdraw from the Approved Institution (AI) status?
","Withdrawl of my organisation from the  AI status?
"
26,"If an Approved Institution (AI) needs to update its bank account details, does it need to inform Ministry of Social and Family Development (MSF)?
",Should I inform MSF if an AI updated its bank account details?
27,"How can I change the Approved Person for my Approved Institution?
","What is the procedure to change the Approved Person for my Approved Institution?
"
28,"What Child Development Account (CDA) deduction records do Approved Institutions (AI) need to maintain?
",What CDA deduction records do AI need to have?
29,"How do I ensure proper deductions from the Child Development Account (CDA)?
","How do I ensure proper deductions from the Child Development Account (CDA)?
"
30,"How can I check the identity of the Child Development Account (CDA) member and the siblings?
",Check the identity of the CDA member and the siblings?
