0,"Are we allowed to go to the houses of our extended family for caregiving purposes (e.g., grandparents going to children's house to care for grandchildren, children bringing groceries/food for elderly parents who do not stay with them)?","The objective of the circuit breaker measures is to significantly reduce movements and social interactions, especially for seniors who are more vulnerable to COVID-19 infection.
Grandparents can continue to care for their grandchildren if the grandchildren stay with them throughout this period. We strongly urge seniors to stay at home and avoid going out. You should not drop off your children with their grandparents on a daily basis as this increases the risk of transmission. However, exemptions can be made if you belong to one of the following groups:

Both parents are essential service workers and unable to work from home;
One parent is a healthcare professional (e.g. doctor, nurse, allied health professional, support care staff) and is unable to work from home; and
One parent is an essential service worker who is unable to work from home, and have a child/children below the age of three.
Individuals can still visit elderly family members to assist with their daily needs if there is no one else living with them who can do so. Where possible, we strongly recommend for family members to support their elderly relatives who do not stay with them by keeping in contact through phone or video calls, or bringing them groceries, food and other essential supplies to assist with their daily needs. This is to avoid seniors having to make trips out of the home for such activities.

Social gatherings, such as private parties and social get-togethers with friends and relatives and family members not within the same household, are disallowed.
"
1,"Do applicants have to submit another application for the COVID-19 Support Grant if they had applied for the Temporary Relief Fund?
","Online applicants of the Temporary Relief Fund who have previously indicated that they would like to apply for COVID-19 Support Grant and have submitted the relevant documents* would not have to submit any application form for the COVID-19 Support Grant when applications open. Instead, MSF will assess their eligibility for the COVID-19 Support Grantand contact them for additional information as required. 
 
Temporary Relief Fund applicants who had applied at the Community Centres or SSOs, and indicated that they wanted to apply for COVID-19 Support Grant will receive an SMS inviting them to apply for the COVID-19 Support Grant online. 
 
Individuals who had not previously expressed that they would like to apply for the COVID-19 Support Grant will need to submit a new online application for the COVID-19 Support Grant.
 
 
*Mandatory documents include:
• Relevant documents indicating loss of job, being placed on involuntary NPL or reduction of at least 30% salary for at least three consecutive months, such as Retrenchment letter, contract termination, letter from employer (e.g. indicating loss of least 30% of salary for at least three consecutive months), payslip(s) or CPF contribution statement(s) showing last drawn monthly salary, before loss of job, being placed on involuntary NPL or loss of at least 30% of your salary;
• Payslip(s) or CPF contribution statement(s) showing monthly salary, after loss of at least 30% of your salary for at least three consecutive months and
• Scanned copy of the first page of your bank book / bank statement / bank slip indicating your bank account name and number
"
2,How can applicants find out the status of their application for their Temporary Relief Fund?,"MSF and PA have received more than 100,000 applications for the Temporary Relief Fund. We will do our best to process all applications as soon as possible. For applicants who:
 
Applied online via go.gov.sg/temporary-relief-fund
 They will be notified of the outcome via SMS.
Applied at a Social Service Office (SSO)
If their application is successful, applicants will be notified by SMS or phone call to collect their cheque.
If their application is unsuccessful, applicants will be notified via SMS.
Applied at a Community Club/ Centre (CC)
If they are successful and:
if they indicated the preference to receive assistance via PayNow, applicants who indicated
preference to receive assistance via PayNow will receive a notification from the PayNow
service, when the assistance has been credited into their account.
If they indicated the preference to receive assistance via crossed cheque, applicants will be
notified by their CC to collect their cheque.
If they are unsuccessful: 
applicants will be notified via SMS."
3,"I am experiencing high levels of stress during this circuit breaker period. Where can I seek help or respite?
","For those with general anxiety or stress, you may call the National CARE Hotline (Tel: 62026868) for support.
 
For those experiencing marital or parenting stress, you may wish to contact CPH Online Counselling at www.cphonlinecounselling.sg.
 
Live chat: Mon-Fri 9am-9pm
 
From 13 Apr 2020, Sat 10am-2pm
(except public holidays)
 
Email: Anytime, counsellor will respond within 3 working days "
4,What are the eligibility criteria for COVID-19 Support Grant?,"The eligibility criteria for the COVID-19 Support Grant are as follows:
Singapore Citizen or Permanent Resident aged 16 and above
Full-time or part-time employee affected by the economic impact of COVID-19 (loss of job/reduction in salary or start of involuntary no pay leave (NPL) should have occurred after 23 Jan 2020):
Presently unemployed due to retrenchment/contract termination;
Presently on involuntary NPL for a period of at least three consecutive months (e.g. Mar - May 2020, May - Jul 2020); or
Presently experiencing reduced monthly salary of at least 30%, for a period of at least three consecutive months (e.g. Mar - May 2020, May - Jul 2020)
Prior gross monthly household income of ≤$10,000 or monthly per capita income of ≤ $3,100
Live in a property with annual value of ≤$21,000
Not on ComCare Short-to-Medium-Term Assistance or Long-Term Assistance
Has not already recieved, or is currently not receiving the COVID-19 Support Grant or the Self-Employed Persons Income Relief Scheme (SIRS).
Full-time National Servicemen and interns are not eligible
If you meet the above criteria, you may apply online at go.gov.sg/CSG from 04 May 2020 between 9am to 6pm daily!"
5,Can ComCare clients recieve Courage Fund? Can Temporary Relief Fund and COVID-19 Support Grant receipients receive Courage Fund?,"Yes, ComCare/ Temporary Relief Fund/ COVID-19 Support Grant recipients can still receive Courage Fund."
6,Can more than one member of the household submit applications for this scheme?,"No, the relief under Courage Fund Scheme for affected households is provided once for each
household, regardless of the number of household members who contracted COVID-19 or were
on a Quarantine Order/ Leave of Absence/ Stay-Home Notice or the number of times a household
member is placed under a Quarantine Order/ Leave of Absence/ Stay-Home Notice."
7,How can applicants find out their bank details?,"Applicants are advised to contact their bank to find out branch details. Below are the steps to determine bank branch details for some banks (applicants should check with their respective banks for latest information).
 
For POSB account holders (9-digit account number): 
Bank Code: 7171 
Branch Code: 081 
Branch Name: POSB Bank Ltd. 

For DBS account holders (10-digit account number): 
Bank Code: 7171 
Branch Code: First 3 digits of your DBS account number. For example for account no. 123-4-567890 the Branch Code is 123 
Branch Name: DBS Bank Ltd. 

For OCBC account holders (10 or 12-digit account number): 
Bank Code: 7339 
Branch Code: The first three numbers of your OCBC account number are branch codes. Example of OCBC Bank account numbers: 555-1-234567 where 555 is the branch code 501-123956-001 where 501 is the branch code 

For UOB account holders (10-digit account number): 
Bank Code: 7375 
Branch Code: Please use the first 3 digits of your UOB account number and refer to Appendix A to retrieve the corresponding bank and branch code from the following document http://www.uob.com.sg/assets/pdfs/global/achcode.pdf. For example: For account 101-123-456-7, please use 101 to refer to Appendix A to retrieve the Bank Code 7375 and Branch code 001."
8,Where can I find details of the other schemes under the Courage Fund?,"Besides lower-income household whose family member(s) have contracted COVID-19 or are on Stay-Home Notice, Leave of Absence or Home Quarantine Order, the Courage Fund will also support (i) dependents of individuals who contract COVID-19, and (ii) healthcare workers, frontline workers and community volunteers who contract the virus in the course of duty.
 
For more details, please refer to the following NCSS website: https://www.ncss.gov.sg/Our-Initiatives/The-Courage-Fund."
9,Would the applicant be eligible if he or she self-imposed a leave of absence or quarantine?,"No, the relief is for those who have been directly affected by COVID-19 and who were issued official QOs/SHNs/LOAs by MOH, MOM or employers."
