Can ComCare clients receive Courage Fund? Can Temporary Relief Fund and COVID-19 Support Grant receipients receive Courage Fund?,"Yes, ComCare/ Temporary Relief Fund/ COVID-19 Support Grant recipients can still receive Courage Fund."
Can more than one member of the household submit applications for this scheme?,"No, the relief under Courage Fund Scheme for affected households is provided once for each household, regardless of the number of household members who contracted COVID-19 or were on a Quarantine Order/ Leave of Absence/ Stay-Home Notice or the number of times a household member is placed under a Quarantine Order/ Leave of Absence/ Stay-Home Notice."
How can applicants find out their bank details?,"Applicants are advised to contact their bank to find out branch details. Below are the steps to determine bank branch details for some banks (applicants should check with their respective banks for latest information). For POSB account holders (9-digit account number): Bank Code: 7171 Branch Code: 081 Branch Name: POSB Bank Ltd. For DBS account holders (10-digit account number): Bank Code: 7171 Branch Code: First 3 digits of your DBS account number. For example for account no. 123-4-567890 the Branch Code is 123 Branch Name: DBS Bank Ltd. For OCBC account holders (10 or 12-digit account number): Bank Code: 7339 Branch Code: The first three numbers of your OCBC account number are branch codes. Example of OCBC Bank account numbers: 555-1-234567 where 555 is the branch code 501-123956-001 where 501 is the branch code For UOB account holders (10-digit account number): Bank Code: 7375 Branch Code: Please use the first 3 digits of your UOB account number and refer to Appendix A to retrieve the corresponding bank and branch code from the following document http://www.uob.com.sg/assets/pdfs/global/achcode.pdf. For example: For account 101-123-456-7, please use 101 to refer to Appendix A to retrieve the Bank Code 7375 and Branch code 001."
Where can I find details of the other schemes under the Courage Fund?,"Besides lower-income household whose family member(s) have contracted COVID-19 or are on Stay-Home Notice, Leave of Absence or Home Quarantine Order, the Courage Fund will also support (i) dependents of individuals who contract COVID-19, and (ii) healthcare workers, frontline workers and community volunteers who contract the virus in the course of duty. For more details, please refer to the following NCSS website: https://www.ncss.gov.sg/Our-Initiatives/The-Courage-Fund."
Would the applicant be eligible if he or she self-imposed a leave of absence or quarantine?,"No, the relief is for those who have been directly affected by COVID-19 and who were issued official QOs/SHNs/LOAs by MOH, MOM or employers."
When is the CSG payout date?,"Usually for the 1st month, it will depend on when the officer approves the application (from day the application is approved till payout will usually be about a week). For the subsequent 2 months (CSG is for 3 months of assistance), it will usually be on the 4th of the month."
What are the eligibility criteria for COVID-19 Support Grant?,"The eligibility criteria for the COVID-19 Support Grant are as follows: Singapore Citizen or Permanent Resident aged 16 and above Full-time or part-time employee affected by the economic impact of COVID-19 (involuntary loss of job/reduction in salary or start of involuntary no pay leave (NPL) should have occurred after 23 Jan 2020): Presently involuntarily unemployed due to retrenchment/contract termination; Presently on involuntary NPL for a period of at least three consecutive months (e.g. Mar - May 2020, May - Jul 2020); or Presently experiencing reduced monthly salary of at least 30%, for a period of at least three consecutive months (e.g. Mar - May 2020, May - Jul 2020) Prior gross monthly household income of ≤$10,000 or monthly per capita income of ≤ $3,100 Live in a property with annual value of ≤$21,000 Not on ComCare Short-to-Medium-Term Assistance or Long-Term Assistance Has not already recieved, or is currently not receiving the COVID-19 Support Grant or the Self-Employed Persons Income Relief Scheme (SIRS). Full-time National Servicemen and interns are not eligible If you meet the above criteria, you may apply online at go.gov.sg/CSG from 04 May 2020 between 9am to 6pm daily!"
Do applicants need to be affected for three months before they are eligible for the COVID-19 Support Grant (CSG)?,"Employees who have lost their jobs can apply for CSG immediately without waiting for three months. Employees who are placed on involuntary NPL or experiencing reduced monthly salary need not wait till they are affected for three consecutive months to apply. They are eligible for CSG if their NPL or salary loss has already started, and they provide supporting documents, such as a letter from their employer, showing that the involuntary NPL or salary reduction will be for at least three consecutive months."
Can more than one family member in a household get help from the COVID-19 Support Grant?,Yes. Each individual family member who fulfils the eligibility criteria is eligible for support under the COVID-19 Support Grant.
Some applicants may have more than one job. Can they still apply for the COVID-19 Support Grant?,"Yes. Applicants who have multiple jobs affected by COVID-19 should report this accordingly in their application forms. The amount of grant will be based on the sum of the last drawn basic monthly salary of the affected jobs capped at $800/month. For applicants who have lost their job(s) or are placed on involuntary NPL, i.e. have no work income, the amount of grant is capped at $800 per month. For applicants who had their monthly salary reduced by at least 30% every month for at least three consecutive months, the amount of grant is capped at $500 per month. This grant is capped at a lower amount as applicants still have some work income."
Are daily-rated/ad-hoc workers eligible for the COVID-19 Support Grant?,"The COVID-19 Support Grant is for full-time or part-time employees with valid employment contracts. Daily-rated/ad-hoc workers who do not have employment contracts or CPF contributions are not considered full-time or part-time employees. Daily-rated/ad-hoc workers who require financial assistance may approach their nearest Social Service Offices (SSOs) (go.gov.sg/locate-sso) to apply for financial assistance. Comcare provides financial assistance and comprehensive support to low-income individuals and families (with monthly household income of $1,900 and below, or a per capita income of $650 and below). If their income exceeds these guidelines, they may still approach the SSOs if they face financial difficulties. The SSOs will assess their circumstances and needs, and provide assistance accordingly."
Are self-employed persons (SEPs) eligible for the COVID-19 Support Grant?,"The COVID-19 Support Grant is for full-time or part-time employees. SEPs such as insurance agents, real estate agents, freelancers (including delivery riders), hawkers, taxi drivers/private-hire car drivers, are not eligible for COVID-19 Support Grant. SEPs may qualify for the SEP income Relief Scheme (SIRS) instead. (https://www.ntuc.com.sg/SIRS)"
Are full-time students who work eligible for the COVID-19 Support Grant?,"Yes, if they have a regular, full- or part-time job with a valid employment contract."
Are ComCare beneficiaries eligible for the COVID-19 Support Grant?,"No, ComCare beneficiaries will continue to receive comprehensive support for their basic living expenses, including cash assistance, assistance with household bills, and assistance with medical bills. Existing ComCare beneficiaries whose assistance is ending by October 2020 will have their assistance extended for a further six months without review, waiving the need for submission of new documents and signatures. Families on ComCare whose circumstances have changed during the COVID-19 situation may also approach SSOs for a review of their current ComCare Short-to-Medium-Term support. Those who are newly placed on ComCare will receive at least six months of assistance1. 1 Some household may receive assistance for a shorter duration, if it is ascertained that within the next six months, they would be receiving other sources of income which they could tap on for their basic living expenses."
